epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4813,2.22435,4.29548,1.70202,0.50013,0.39879,0.37338,0.1821,1.93997,2.00329,1.44829,0.00330601,0.00330601,0.00330601
2,145.482,1.89024,1.86832,1.40415,0.42027,0.40517,0.36402,0.18331,1.89729,1.90717,1.39882,0.0066262,0.0066262,0.0066262
3,217.614,1.90662,1.8759,1.41153,0.45791,0.41371,0.38702,0.16694,2.00017,2.58213,1.45141,0.00993319,0.00993319,0.00993319
4,288.537,1.94049,1.81384,1.4255,0.42602,0.35435,0.30362,0.14493,2.00013,2.92404,1.48957,0.0099406,0.0099406,0.0099406
5,359.831,1.93228,1.76548,1.44542,0.36194,0.47419,0.32601,0.14039,2.0108,1.96088,1.51067,0.0099208,0.0099208,0.0099208
6,430.048,1.90498,1.65613,1.41467,0.44005,0.4653,0.41023,0.18644,1.91526,1.72145,1.45208,0.009901,0.009901,0.009901
7,500.747,1.87658,1.60201,1.39641,0.55555,0.51096,0.52606,0.24961,1.84171,1.63419,1.37601,0.0098812,0.0098812,0.0098812
8,571.34,1.85202,1.55914,1.38223,0.50027,0.601,0.5296,0.23621,1.85334,1.62511,1.37601,0.0098614,0.0098614,0.0098614
9,642.781,1.81435,1.48062,1.36718,0.56362,0.6122,0.58379,0.27051,1.82618,1.44945,1.37201,0.0098416,0.0098416,0.0098416
10,714.993,1.78044,1.45991,1.35344,0.61308,0.57426,0.59881,0.27946,1.82916,1.39318,1.36216,0.0098218,0.0098218,0.0098218
11,785.531,1.78475,1.42309,1.354,0.52095,0.51073,0.50794,0.24428,1.85096,1.57079,1.39779,0.009802,0.009802,0.009802
12,855.82,1.76606,1.40576,1.34339,0.50834,0.60555,0.52855,0.26097,1.76322,1.46538,1.31354,0.0097822,0.0097822,0.0097822
13,927.322,1.74917,1.36064,1.32523,0.59509,0.47278,0.48831,0.23192,2.04442,1.69111,1.51269,0.0097624,0.0097624,0.0097624
14,998.573,1.75799,1.34916,1.34227,0.63318,0.60633,0.59844,0.28937,1.75801,1.38148,1.3164,0.0097426,0.0097426,0.0097426
15,1069.8,1.7378,1.30211,1.31631,0.75578,0.65632,0.70559,0.34807,1.73057,1.2101,1.29145,0.0097228,0.0097228,0.0097228
16,1141.5,1.71196,1.26517,1.29993,0.66432,0.66896,0.67506,0.32555,1.75896,1.31264,1.31514,0.009703,0.009703,0.009703
17,1214.53,1.69665,1.24148,1.29575,0.68707,0.60922,0.62801,0.30383,1.82108,1.36135,1.36603,0.0096832,0.0096832,0.0096832
18,1286.27,1.68679,1.21699,1.28862,0.64508,0.64911,0.63128,0.31333,1.74054,1.30579,1.30517,0.0096634,0.0096634,0.0096634
19,1358.94,1.67336,1.19183,1.27852,0.73211,0.69588,0.72044,0.35607,1.76182,1.14839,1.31671,0.0096436,0.0096436,0.0096436
20,1430.09,1.65736,1.16339,1.27374,0.67435,0.643,0.64403,0.30728,1.84257,1.34643,1.35224,0.0096238,0.0096238,0.0096238
21,1503.07,1.64583,1.13336,1.26095,0.62001,0.71384,0.6114,0.29476,1.7862,1.33117,1.31359,0.009604,0.009604,0.009604
22,1576.07,1.65068,1.12595,1.26353,0.73656,0.67518,0.71276,0.36474,1.73763,1.15054,1.29641,0.0095842,0.0095842,0.0095842
23,1650.84,1.6226,1.0813,1.23977,0.71037,0.72816,0.70386,0.36016,1.69679,1.12605,1.2682,0.0095644,0.0095644,0.0095644
24,1723.29,1.63284,1.09797,1.25477,0.72556,0.73042,0.7417,0.36568,1.74407,1.10377,1.28167,0.0095446,0.0095446,0.0095446
25,1795.98,1.6244,1.08984,1.24117,0.79333,0.73927,0.77444,0.39396,1.69054,1.06742,1.26135,0.0095248,0.0095248,0.0095248
